manufacturer,type,cc,engine,start,end,brand,name,oid,sid,comment
雪铁龙 (东风标致雪铁龙),赛纳毕加索,2.0,EW10J4,2002/1/1,2004/12/1,FAG,轮毂轴承,374844,101117,后轮
雪铁龙 (东风标致雪铁龙),赛纳毕加索,2.0,RFM,2002/4/1,2007/3/1,FAG,轮毂轴承,374844,101117,后轮
雪铁龙 (东风标致雪铁龙),赛纳毕加索,2.0,EW10J4,2004/3/1,2007/3/1,FAG,轮毂轴承,374844,101117,后轮
福特 (江铃),全顺,2.4,4G64,1998/1/1,-,FAG,轮毂轴承,6197791,101135,前轮
福特 (江铃),全顺,2.8 D,4JB1,1998/1/1,-,FAG,轮毂轴承,6197791,101135,前轮
雪铁龙 (东风标致雪铁龙),赛纳,2.0,EW10J4,2003/5/1,2005/12/1,FAG,轮毂轴承,3748.32,101140,后轮
福特 (长安福特马自达),蒙迪欧,2.5,/,2003/5/1,-,FAG,轮毂轴承,1S711K018AA,101229,前轮
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,FAG,轮毂轴承,1S711K018AA,101229,前轮
福特 (长安福特马自达),蒙迪欧,2.5,/,2003/5/1,-,FAG,轮毂轴承,1S712C299AF,101230,后轮
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,FAG,轮毂轴承,1S712C299AF,101230,后轮
菲亚特 (南京菲亚特),派力奥,1.3,188 A5.000,2002/1/1,-,FAG,轮毂轴承,46519901,101262,后轮
菲亚特 (南京菲亚特),西耶那,1.3,188 A5.000,2003/1/1,-,FAG,轮毂轴承,46519901,101262,后轮
菲亚特 (南京菲亚特),派力奥,1.5,178 E5.022,2002/1/1,-,FAG,轮毂轴承,46519901,101262,后轮
东南 (东南汽车),得利卡,2.4,4G64S4M,1997/4/1,2003/8/1,FAG,轮毂轴承,MB092749….4,101279,前轮
东南 (东南汽车),得利卡,2.0,EQ491i,1997/4/1,2003/8/1,FAG,轮毂轴承,MB092749….4,101279,前轮
东南 (东南汽车),得利卡,2.0,4G63,2004/9/1,-,FAG,轮毂轴承,MB092749.…4,101279,前轮
三菱 (北京吉普),帕杰罗 运动版,2.4,4G64S4M,2003/1/1,2006/2/1,FAG,轮毂轴承,MB092749,101279,前轮
三菱 (北京吉普),帕杰罗 运动版,3.0,6 G 72,2003/1/1,2006/2/1,FAG,轮毂轴承,MB092749,101279,前轮
奥迪 (一汽奥迪),A6L (C6),2.7 TDI,CANA,2009/8/1,2011/12/1,FAG,轮毂轴承,4E0498625B,101468,前轮
奥迪 (一汽奥迪),A6L (C6),4.2 FSI,BAT,2005/9/1,-,FAG,轮毂轴承,4F0498625A,101468,前轮
奥迪 (一汽奥迪),A6L (C6),4.2 FSI,BVJ,2006/11/1,2008/10/1,FAG,轮毂轴承,4F0498625A,101468,前轮
本田 (东风本田),CR-V思威,2.4,K24A1,2004/6/1,2007/2/1,FAG,轮毂轴承,44300-S9A-003,101641,前轮
本田 (东风本田),CR-V思威,2.0,K20A4,2004/6/1,2007/2/1,FAG,轮毂轴承,44300-S9A-003,101641,前轮
大众 (一汽大众),高尔夫,1.6,/,2009/8/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,1.6,BWH,2006/2/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),高尔夫,1.4 TSI,CFB,2009/8/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,1.4 TSI,CFB,2009/9/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,1.6,AEH,2006/2/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,1.8 T,BPL,2006/4/1,2008/4/1,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,1.8 TSI,BYJ,2008/7/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),速腾,2.0,BJZ,2006/4/1,2009/6/1,FAG,轮毂轴承,1KD407621A,101644,前轮
大众 (一汽大众),高尔夫,2.0 TSI,/,2010/3/1,-,FAG,轮毂轴承,1KD407621A,101644,前轮
奥迪 (一汽奥迪),A6L (C6),2.4,BDW,2005/3/1,2011/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),2.8,BDX,2007/11/1,2011/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),2.8,CCEA,2009/6/1,2011/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),2.0 FSI,BPJ,2005/9/1,-,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),2.0 T,BWE,-,-,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),3.0,BBJ,2005/3/1,2006/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),3.0 TFSI,CAJA,2009/1/1,2011/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
奥迪 (一汽奥迪),A6L (C6),3.1 FSI,AUK,2005/9/1,2008/12/1,FAG,轮毂轴承,4F0498625B,101645,前轮
起亚 (东风悦达起亚),远舰,1.8,G4GB,2005/8/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
起亚 (东风悦达起亚),K5,2.4,/,2011/3/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
起亚 (东风悦达起亚),狮跑,2.7,G6BA,2007/11/1,-,FAG,轮毂轴承,5172038110,101660,前轮
起亚 (东风悦达起亚),K5,2.0,/,2011/3/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
起亚 (东风悦达起亚),狮跑,2.0,G4GC,2007/11/1,-,FAG,轮毂轴承,5172038110,101660,前轮
起亚 (东风悦达起亚),狮跑,2.0,G4GC,2009/1/1,-,FAG,轮毂轴承,5172038110,101660,前轮
起亚 (东风悦达起亚),远舰,2.0,G4GC,2004/9/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
现代 (北京现代),索纳塔 (NF),2.4,G4KC,2005/9/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
现代 (北京现代),索纳塔,2.5,G6BW,2002/12/1,2007/7/1,FAG,轮毂轴承,51720 3A101,101660,前轮
现代 (北京现代),索纳塔,2.7,G6BA,2002/12/1,2007/7/1,FAG,轮毂轴承,51720 3A101,101660,前轮
现代 (北京现代),途胜,2.7,G6BA,2005/5/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
现代 (北京现代),索纳塔,2.0,G4GC,2002/12/1,2007/7/1,FAG,轮毂轴承,51720 3A101,101660,前轮
现代 (北京现代),索纳塔 (NF),2.0,G4KA,2005/9/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
现代 (北京现代),途胜,2.0,G4GC,2005/5/1,-,FAG,轮毂轴承,51720 38110,101660,前轮
菲亚特 (南京菲亚特),派力奥,1.3,188 A5.000,2002/1/1,-,FAG,轮毂轴承,46532573,101664,前轮
菲亚特 (南京菲亚特),派力奥,1.5,178 E5.022,2002/1/1,-,FAG,轮毂轴承,46532573,101664,前轮
起亚 (东风悦达起亚),锐欧,1.4,G4EE,2007/1/1,-,FAG,轮毂轴承,52750 1G100,101670,后轮
起亚 (东风悦达起亚),锐欧,1.6,G4ED,2007/1/1,-,FAG,轮毂轴承,52750 1G100,101670,后轮
现代 (北京现代),雅绅特,1.4,G4EE,2006/2/1,-,FAG,轮毂轴承,52750 1G100,101670,后轮
现代 (北京现代),雅绅特,1.6,G4ED,2006/2/1,-,FAG,轮毂轴承,52750 1G100,101670,后轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2005/5/1,2006/8/1,FAG,轮毂轴承,51720 2D200,101671,前轮
起亚 (东风悦达起亚),赛拉图,1.8,G4GB,2005/5/1,-,FAG,轮毂轴承,51720 2D200,101671,前轮
现代 (北京现代),伊兰特,1.6,G4GA,2003/12/1,-,FAG,轮毂轴承,51720 38100,101671,前轮
现代 (北京现代),伊兰特,1.8,G4GB,2003/12/1,-,FAG,轮毂轴承,51720 38100,101671,前轮
现代 (北京现代),索纳塔,2.0,G4GC,2002/12/1,2007/7/1,FAG,轮毂轴承,52730 38002,101676,后轮
起亚 (东风悦达起亚),远舰,1.8,G4GB,2005/8/1,-,FAG,轮毂轴承,52730 37102,101677,后轮
起亚 (东风悦达起亚),远舰,2.0,G4GC,2004/9/1,-,FAG,轮毂轴承,52730 37102,101677,后轮
现代 (北京现代),索纳塔,2.5,G6BW,2002/12/1,2007/7/1,FAG,轮毂轴承,52730 38103,101677,后轮
现代 (北京现代),索纳塔,2.7,G6BA,2002/12/1,2007/7/1,FAG,轮毂轴承,52730 38102,101677,后轮
现代 (北京现代),索纳塔,2.0,G4GC,2002/12/1,2007/7/1,FAG,轮毂轴承,52730 38102,101677,后轮
起亚 (东风悦达起亚),狮跑,2.7,G6BA,2007/11/1,-,FAG,轮毂轴承,52710 2E100,101679,后轮
起亚 (东风悦达起亚),狮跑,2.0,G4GC,2007/11/1,-,FAG,轮毂轴承,52710 2E100,101679,后轮
起亚 (东风悦达起亚),狮跑,2.0,G4GC,2009/1/1,-,FAG,轮毂轴承,52710 2E100,101679,后轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2005/5/1,2006/8/1,FAG,轮毂轴承,52710 2D315,101681,后轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2006/8/1,-,FAG,轮毂轴承,52710 2D315,101681,后轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2007/12/1,-,FAG,轮毂轴承,52710 2D315,101681,后轮
起亚 (东风悦达起亚),赛拉图,1.8,G4GB,2005/5/1,-,FAG,轮毂轴承,52710 2D315,101681,后轮
现代 (北京现代),伊兰特,1.6,G4GA,2003/12/1,-,FAG,轮毂轴承,52710 2D115,101681,后轮
现代 (北京现代),伊兰特,1.8,G4GB,2003/12/1,-,FAG,轮毂轴承,52710 2D115,101681,后轮
现代 (北京现代),索纳塔 (NF),2.4,G4KC,2005/9/1,-,FAG,轮毂轴承,52730 3k000,101682,后轮
现代 (北京现代),索纳塔 (NF),2.0,G4KA,2005/9/1,-,FAG,轮毂轴承,52730 3K000,101682,后轮
标致 (东风标致雪铁龙),307,1.6,TU5JP4,2004/8/1,-,FAG,轮毂轴承,374883,101698,后轮
标致 (东风标致雪铁龙),307,1.6,TU5JP4,2008/2/1,-,FAG,轮毂轴承,374883,101698,后轮
标致 (东风标致雪铁龙),307,2.0,EW10J4,2004/8/1,2006/5/1,FAG,轮毂轴承,374883,101698,后轮
标致 (东风标致雪铁龙),307,2.0,EW10A,2006/5/1,-,FAG,轮毂轴承,374883,101698,后轮
标致 (东风标致雪铁龙),307,2.0,EW10A,2008/2/1,-,FAG,轮毂轴承,374883,101698,后轮
雪铁龙 (东风标致雪铁龙),世嘉,1.6,N6A,2008/10/1,-,FAG,轮毂轴承,374883,101698,后轮
雪铁龙 (东风标致雪铁龙),世嘉,1.6,N6A,2009/6/1,-,FAG,轮毂轴承,374883,101698,后轮
雪铁龙 (东风标致雪铁龙),凯旋,2.0,EW10A,2006/5/1,-,FAG,轮毂轴承,374883,101698,后轮
雪铁龙 (东风标致雪铁龙),世嘉,2.0,EW10A,2008/10/1,-,FAG,轮毂轴承,374883,101698,后轮
雪铁龙 (东风标致雪铁龙),世嘉,2.0,RFN,2009/6/1,-,FAG,轮毂轴承,374883,101698,后轮
标致 (东风标致雪铁龙),307,1.6,TU5JP4,2004/8/1,-,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),307,1.6,TU5JP4,2008/2/1,-,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),408,1.6,TU5JP4,2010/1/1,-,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),307,2.0,EW10J4,2004/8/1,2006/5/1,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),307,2.0,EW10A,2006/5/1,-,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),307,2.0,EW10A,2008/2/1,-,FAG,轮毂轴承,374890,101699,后轮
标致 (东风标致雪铁龙),408,2.0,EW10A,2010/1/1,-,FAG,轮毂轴承,374890,101699,后轮
雪铁龙 (东风标致雪铁龙),世嘉,1.6,N6A,2008/10/1,-,FAG,轮毂轴承,374890,101699,后轮
雪铁龙 (东风标致雪铁龙),世嘉,1.6,N6A,2009/6/1,-,FAG,轮毂轴承,374890,101699,后轮
雪铁龙 (东风标致雪铁龙),凯旋,2.0,EW10A,2006/5/1,-,FAG,轮毂轴承,374890,101699,后轮
雪铁龙 (东风标致雪铁龙),世嘉,2.0,EW10A,2008/10/1,-,FAG,轮毂轴承,374890,101699,后轮
雪铁龙 (东风标致雪铁龙),世嘉,2.0,RFN,2009/6/1,-,FAG,轮毂轴承,374890,101699,后轮
雪佛兰 (上海通用-雪佛兰),科帕奇,2.4,LE5,2007/8/1,-,FAG,轮毂轴承,96626339,101845,前轮
雪佛兰 (上海通用-雪佛兰),科帕奇,2.4,LE5,2007/8/1,-,FAG,轮毂轴承,25903358,101845,前轮
雪佛兰 (上海通用-雪佛兰),科帕奇,3.2,LU1,2009/1/1,-,FAG,轮毂轴承,96626339,101845,前轮
雪佛兰 (上海通用-雪佛兰),科帕奇,3.2,LU1,2009/1/1,-,FAG,轮毂轴承,25903358,101845,前轮
雪佛兰 (上海通用-雪佛兰),科帕奇,2.4,LE5,2007/8/1,-,FAG,轮毂轴承,25903295,101846,后轮
雪佛兰 (上海通用-雪佛兰),科帕奇,3.2,LU1,2009/1/1,-,FAG,轮毂轴承,25903295,101846,后轮
起亚 (东风悦达起亚),K5,2.4,/,2011/3/1,-,FAG,轮毂轴承,52730 3S200 ,101901,后轮
起亚 (东风悦达起亚),K5,2.0,/,2011/3/1,-,FAG,轮毂轴承,52730 3S200 ,101901,后轮
起亚 (东风悦达起亚),智跑,2.0,/,2010/10/1,-,FAG,轮毂轴承,52730 3S200,101901,后轮
起亚 (东风悦达起亚),秀尔,1.6,G4FC,2009/12/1,-,FAG,轮毂轴承,52750-2K000,101902,后轮
起亚 (东风悦达起亚),秀尔,2.0,/,2009/12/1,-,FAG,轮毂轴承,52750-2K000,101902,后轮
马自达 (长安福特马自达),3,1.6,/,2009/1/1,-,FAG,轮毂轴承,BBM2-33-047,101947,前轮
标致 (东风标致雪铁龙),206,1.4,TU3AF,2006/7/1,2009/2/1,FAG,轮毂轴承,374839,546467,后轮
标致 (东风标致雪铁龙),207,1.4,TU3AF,2009/3/1,-,FAG,轮毂轴承,374839,546467,后轮
标致 (东风标致雪铁龙),207,1.4,TU3AF,2008/11/1,-,FAG,轮毂轴承,374839,546467,后轮
标致 (东风标致雪铁龙),206,1.6,TU5JP4,2006/1/1,2009/2/1,FAG,轮毂轴承,374839,546467,后轮
标致 (东风标致雪铁龙),207,1.6,TU5JP4,2009/3/1,-,FAG,轮毂轴承,374839,546467,后轮
标致 (东风标致雪铁龙),207,1.6,TU5JP4,2008/11/1,-,FAG,轮毂轴承,374839,546467,后轮
奇瑞,QQ3,0.8,/,2004/3/1,-,FAG,轮毂轴承,BT-445539-BH,546467,后轮
奇瑞,QQ,0.8,SQR372,2003/5/1,-,FAG,轮毂轴承,BT-445539-BH,546467,后轮
奇瑞,QQ,1.1,DA465Q-1A2/D,2003/5/1,-,FAG,轮毂轴承,BT-445539-BH,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.2,B12,2008/3/1,2010/5/1,FAG,轮毂轴承,96471775,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐风,1.2,B12,2008/12/1,2010/12/1,FAG,轮毂轴承,94535214,546467,后轮
雪佛兰 (上海通用-雪佛兰),赛欧,1.2,/,2010/1/1,-,FAG,轮毂轴承,94535214,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.4,L95,2005/7/1,2010/5/1,FAG,轮毂轴承,96471775,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐风,1.4,L95,2006/3/1,2011/7/1,FAG,轮毂轴承,94535214,546467,后轮
雪佛兰 (上海通用-雪佛兰),赛欧,1.4,/,2010/1/1,-,FAG,轮毂轴承,94535214,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,F16D3D,2008/3/1,2010/5/1,FAG,轮毂轴承,96471775,546467,后轮
雪佛兰 (上海通用-雪佛兰),乐风,1.6,F16D3D,2006/3/1,2011/3/1,FAG,轮毂轴承,94535214,546467,后轮
雪佛兰 (上汽通用-雪佛兰),乐驰,1.2,LMU,2008/12/1,-,FAG,轮毂轴承,94535214,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.4,TU3MC2,1992/2/1,2005/12/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.4,/,2002/2/1,2005/12/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.4,/,1992/2/1,2001/8/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),爱丽舍,1.6,TU5JPK,2002/6/1,2008/4/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),爱丽舍,1.6,TU5JP4,2002/6/1,2008/4/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JPK,1997/2/1,2005/12/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JP4,1997/2/1,2005/12/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JPK,1998/9/1,2008/12/1,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.6 16V,TU5JP4,2002/6/1,-,FAG,轮毂轴承,C95592226,546467,后轮
雪铁龙 (东风标致雪铁龙),富康,1.4,TU3MC2,1992/2/1,2005/12/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.4,/,2002/2/1,2005/12/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.4,/,1992/2/1,2001/8/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),爱丽舍,1.6,TU5JPK,2002/6/1,2008/4/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),爱丽舍,1.6,TU5JP4,2002/6/1,2008/4/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JPK,1997/2/1,2005/12/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JP4,1997/2/1,2005/12/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.6,TU5JPK,1998/9/1,2008/12/1,FAG,轮毂轴承,ZQ91977580,548083,前轮
雪铁龙 (东风标致雪铁龙),富康,1.6 16V,TU5JP4,2002/6/1,-,FAG,轮毂轴承,ZQ91977580,548083,前轮
福特 (长安福特马自达),福克斯,1.8,CAF483Q,2006/8/1,-,FAG,轮毂轴承,BV61 1215 APA,561051,前轮
福特 (长安福特马自达),福克斯,2.0,CAF488Q,2006/8/1,-,FAG,轮毂轴承,BV61 1215 APA,561051,前轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.4,/,2011/5/1,-,FAG,轮毂轴承,13500488,563644,前轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,/,2011/5/1,-,FAG,轮毂轴承,13500488,563644,前轮
大众 (一汽大众),捷达,1.6,/,1998/1/1,2002/1/1,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.6,ATK,1999/10/1,2000/4/1,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.6,ATK,2000/4/1,2004/10/1,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.6,BJG,2004/10/1,-,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.6,ABX,1991/5/1,1999/12/1,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.6,BJG,1997/1/1,2000/4/1,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.8,RP,1989/8/1,1999/12/31,FAG,轮毂轴承,357407625A,566719,前轮
大众 (一汽大众),捷达,1.9 TDI,ALH,1998/8/1,2000/4/1,FAG,轮毂轴承,357407625A,566719,前轮
奇瑞,风云,1.6,SQR480,2001/3/1,2006/12/1,FAG,轮毂轴承,A11-3001015,566719,前轮
奇瑞,风云,1.6,SQR480EC,2003/1/1,-,FAG,轮毂轴承,A11-3001015,566719,前轮
福特 (长安福特马自达),嘉年华,1.3,C13A9J2,2003/3/1,2006/6/1,FAG,轮毂轴承,89FB1240AC,572428,后轮
福特 (长安福特马自达),嘉年华,1.6,JL482QA,2003/3/1,2006/6/1,FAG,轮毂轴承,89FB1240AC,572428,后轮
别克 (上海通用-别克),凯越,1.6,F16D3D,2003/8/1,2008/5/1,FAG,轮毂轴承,5489811,579557,前轮
别克 (上海通用-别克),凯越,1.6,F16D3,2008/1/1,-,FAG,轮毂轴承,5489811,579557,前轮
别克 (上海通用-别克),凯越HRV,1.6,F16D3D,2004/10/1,-,FAG,轮毂轴承,5489811,579557,前轮
别克 (上海通用-别克),凯越,1.8,T18SED,2003/8/1,2008/5/1,FAG,轮毂轴承,5489811,579557,前轮
别克 (上海通用-别克),凯越,1.8,T18SED,2005/11/1,-,FAG,轮毂轴承,5489811,579557,前轮
宝马 (华晨宝马),5 (E60),2.5 (523i),N 52 B 25,2003/3/1,2007/12/1,FAG,轮毂轴承,33411095652,580494,后轮
宝马 (华晨宝马),5 (E60),2.5 (523Li),N 52 B 25,2006/11/1,2010/8/1,FAG,轮毂轴承,33411095652,580494,后轮
宝马 (华晨宝马),5 (E60),2.5 (525i),M54256S5,2004/4/1,2006/2/1,FAG,轮毂轴承,33411095652,580494,后轮
宝马 (华晨宝马),5 (E60),2.5 (525Li),/,2007/1/1,2010/4/1,FAG,轮毂轴承,33411095652,580494,后轮
宝马 (华晨宝马),5 (E60),3.0 (530i),M 54 B 30,2003/10/1,2005/6/1,FAG,轮毂轴承,33411095652,580494,后轮
宝马 (华晨宝马),5 (E60),3.0 (530Li),N 52 B 30 BF,2007/3/1,2010/5/1,FAG,轮毂轴承,33411095652,580494,后轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2006/8/1,-,FAG,轮毂轴承,51720-2D100,584183,前轮
起亚 (东风悦达起亚),赛拉图,1.6,G4ED,2007/12/1,-,FAG,轮毂轴承,51720-2D100,584183,前轮
大众 (上海大众),朗逸,1.6,CDE,2008/4/1,-,FAG,轮毂轴承,18D498625,801136,前轮
大众 (上海大众),朗逸,1.4 TSI,CFB,2010/3/1,-,FAG,轮毂轴承,18D498625,801136,前轮
大众 (上海大众),朗逸,2.0,CEN,2008/4/1,-,FAG,轮毂轴承,18D498625,801136,前轮
大众 (一汽大众),都市高尔夫,1.4,AGY,1996/5/1,2002/9/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.6,/,2002/6/1,2004/10/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.6,BJH,2004/10/1,2006/9/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.6,BWH,2008/11/1,-,FAG,轮毂轴承,1J0407625,801136,前轮
大众 (一汽大众),宝来 HS,1.6,/,2006/10/1,2008/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),都市高尔夫,1.6,AFX,1996/5/1,2002/9/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),高尔夫,1.6,BJH,2003/8/1,2005/1/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.8,BAF,2001/12/1,2006/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来 HS,1.8,BAF,2006/10/1,2008/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),高尔夫,1.8,BAF,2003/7/1,2009/7/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),高尔夫,1.6,AWB,2003/8/1,2005/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),高尔夫,1.8,BAF,2001/5/1,2006/12/31,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.8 T,BAE,2001/12/1,2006/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,1.9 TDI,ATD,2004/3/1,2006/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),高尔夫,1.9 TDI,AGR,2001/5/1,-,FAG,轮毂轴承,1J0498625,801136,前轮
大众 (一汽大众),宝来,2.0,CEN,2008/11/1,2010/12/1,FAG,轮毂轴承,1J0407625,801136,前轮
大众 (一汽大众),高尔夫,2.0,APK,2003/8/1,2005/12/1,FAG,轮毂轴承,1J0498625,801136,前轮
海马汽车,普力马,1.8,FP,2001/3/1,-,FAG,轮毂轴承,b455-33-047DL1,801136,前轮
大众 (上海大众),桑塔纳2000,1.8,AFE,1996/4/1,2004/3/1,FAG,轮毂轴承,547407625,803646,前轮
大众 (上海大众),桑塔纳2000,1.8,AYJ,1998/5/1,2004/3/1,FAG,轮毂轴承,547407625,803646,前轮
大众 (上海大众),桑塔纳2000,1.8,JV,1995/4/1,2004/3/1,FAG,轮毂轴承,547407625,803646,前轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.2,B12,2008/3/1,2010/5/1,FAG,轮毂轴承,5486658,803647,前轮
雪佛兰 (上海通用-雪佛兰),乐风,1.2,B12,2008/12/1,2010/12/1,FAG,轮毂轴承,5486658,803647,前轮
雪佛兰 (上海通用-雪佛兰),赛欧,1.2,/,2010/1/1,-,FAG,轮毂轴承,9024116,803647,前轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.4,L95,2005/7/1,2010/5/1,FAG,轮毂轴承,5486658,803647,前轮
雪佛兰 (上海通用-雪佛兰),乐风,1.4,L95,2006/3/1,2011/7/1,FAG,轮毂轴承,5486658,803647,前轮
雪佛兰 (上海通用-雪佛兰),赛欧,1.4,/,2010/1/1,-,FAG,轮毂轴承,9024116,803647,前轮
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,F16D3D,2008/3/1,2010/5/1,FAG,轮毂轴承,5486658,803647,前轮
雪佛兰 (上海通用-雪佛兰),乐风,1.6,F16D3D,2006/3/1,2011/3/1,FAG,轮毂轴承,5486658,803647,前轮
大众 (上海大众),高尔,1.6,BHJ,2003/12/1,2005/2/1,FAG,轮毂轴承,330407626KA,803769,前轮
大众 (上海大众),桑塔纳,1.6,/,1996/8/1,-,FAG,轮毂轴承,330498625A,803769,前轮
大众 (上海大众),桑塔纳,1.8,/,1996/8/1,-,FAG,轮毂轴承,330498625A,803769,前轮
大众 (上海大众),桑塔纳,1.8,AFE,1996/8/1,-,FAG,轮毂轴承,330498625A,803769,前轮
大众 (上海大众),桑塔纳,1.8,JV,1985/3/1,1996/8/1,FAG,轮毂轴承,330498625A,803769,前轮
大众 (上海大众),桑塔纳2000,1.8,AFE,1996/4/1,2004/3/1,FAG,轮毂轴承,330498625A,803769,前轮
